,Time;durP1;ratioP1;P1;durP2;ratioP2;P2;SDS_P1;SDS_P2;PMS_P1;PMS_P2;Temp;Humidity;BMP_temperature;BMP_pressure;BME280_temperature;BME280_humidity;BME280_pressure;Samples;Min_cycle;Max_cycle;Signal;HPM_P1;HPM_P2
0,2021/07/27 00:01:30;;;;;;;5.32;3.80;;;24.50;65.30;;;;;;5093328;28;20035;-43
1,2021/07/27 00:03:55;;;;;;;4.68;3.55;;;24.50;65.40;;;;;;5093301;28;20368;-43
2,2021/07/27 00:06:21;;;;;;;5.07;3.60;;;24.50;65.40;;;;;;5058487;28;20089;-45
3,2021/07/27 00:08:46;;;;;;;5.18;3.70;;;24.50;65.40;;;;;;5075242;28;20379;-45
4,2021/07/27 00:11:12;;;;;;;5.15;3.92;;;24.50;65.50;;;;;;5093198;28;20020;-45
5,2021/07/27 00:13:39;;;;;;;5.10;3.47;;;24.40;65.50;;;;;;5093147;28;20024;-48
6,2021/07/27 00:16:04;;;;;;;4.20;3.55;;;24.40;65.50;;;;;;5093209;28;20020;-47
7,2021/07/27 00:18:30;;;;;;;5.93;3.65;;;24.40;65.60;;;;;;5093466;28;20039;-50
8,2021/07/27 00:20:57;;;;;;;4.97;3.65;;;24.40;65.60;;;;;;5092995;28;20032;-46
9,2021/07/27 00:23:22;;;;;;;5.38;3.55;;;24.40;65.70;;;;;;5092934;28;20016;-44
10,2021/07/27 00:25:49;;;;;;;6.13;3.60;;;24.30;65.60;;;;;;5092909;28;20039;-44
11,2021/07/27 00:28:14;;;;;;;4.97;3.85;;;24.30;65.70;;;;;;5092614;28;20117;-48
12,2021/07/27 00:30:40;;;;;;;4.63;3.67;;;24.30;65.80;;;;;;5073987;28;20032;-51
13,2021/07/27 00:33:05;;;;;;;5.97;3.80;;;24.30;65.80;;;;;;5092873;28;20502;-48
14,2021/07/27 00:35:32;;;;;;;5.40;3.90;;;24.30;65.80;;;;;;5092843;28;20035;-50
15,2021/07/27 00:38:07;;;;;;;6.10;4.38;;;24.30;65.90;;;;;;5092632;28;20016;-47
16,2021/07/27 00:40:36;;;;;;;4.45;3.65;;;24.30;65.90;;;;;;5093156;28;20135;-49
17,2021/07/27 00:43:03;;;;;;;5.32;3.80;;;24.30;65.90;;;;;;5075031;28;20475;-48
18,2021/07/27 00:45:29;;;;;;;4.65;3.60;;;24.30;66.00;;;;;;5092638;28;20031;-49
19,2021/07/27 00:47:54;;;;;;;4.18;3.45;;;24.20;66.00;;;;;;5092866;28;20031;-45
20,2021/07/27 00:50:20;;;;;;;8.55;3.55;;;24.20;66.10;;;;;;5092723;28;20256;-44
21,2021/07/27 00:52:45;;;;;;;5.50;3.65;;;24.20;66.10;;;;;;5092741;28;20439;-43
22,2021/07/27 00:55:11;;;;;;;6.38;4.05;;;24.20;66.10;;;;;;5092570;28;20489;-44
23,2021/07/27 00:57:36;;;;;;;6.68;4.00;;;24.20;66.10;;;;;;5092332;28;20158;-42
24,2021/07/27 01:00:02;;;;;;;5.25;3.95;;;24.20;66.20;;;;;;5057753;28;20073;-44
25,2021/07/27 01:02:30;;;;;;;4.47;3.78;;;24.20;66.20;;;;;;5074113;28;20110;-42
26,2021/07/27 01:04:55;;;;;;;4.63;4.05;;;24.20;66.20;;;;;;5092558;28;20016;-47
27,2021/07/27 01:07:22;;;;;;;5.65;3.97;;;24.20;66.20;;;;;;5092205;28;20437;-42
28,2021/07/27 01:09:47;;;;;;;5.28;4.07;;;24.10;66.20;;;;;;5092368;28;20025;-41
29,2021/07/27 01:12:13;;;;;;;5.05;4.00;;;24.10;66.30;;;;;;5092234;28;20023;-41
30,2021/07/27 01:14:38;;;;;;;4.95;4.07;;;24.10;66.30;;;;;;5092238;28;20379;-42
31,2021/07/27 01:17:04;;;;;;;4.75;3.78;;;24.10;66.40;;;;;;5092031;28;20036;-42
32,2021/07/27 01:19:44;;;;;;;4.75;4.07;;;24.10;66.40;;;;;;5092194;28;20440;-42
33,2021/07/27 01:43:47;;;;;;;7.75;4.60;;;23.90;66.80;;;;;;5096119;28;20356;-45
34,2021/07/27 01:46:15;;;;;;;6.70;4.40;;;23.90;66.80;;;;;;5096038;28;20099;-45
35,2021/07/27 01:48:40;;;;;;;7.15;4.78;;;23.90;66.80;;;;;;5096030;28;20446;-44
36,2021/07/27 01:51:06;;;;;;;7.20;5.00;;;23.90;66.90;;;;;;5095793;28;20099;-42
37,2021/07/27 01:53:47;;;;;;;7.10;4.78;;;23.80;66.90;;;;;;5096013;28;20028;-43
38,2021/07/27 01:56:13;;;;;;;7.32;4.95;;;23.80;66.90;;;;;;5095536;28;20020;-46
39,2021/07/27 01:58:39;;;;;;;6.38;4.95;;;23.80;66.90;;;;;;5095714;28;20063;-48
40,2021/07/27 02:01:04;;;;;;;6.82;4.78;;;23.80;66.90;;;;;;5095774;28;20070;-43
41,2021/07/27 02:03:30;;;;;;;6.60;4.90;;;23.80;67.00;;;;;;5095871;28;20028;-49
42,2021/07/27 02:05:55;;;;;;;6.45;4.78;;;23.80;67.00;;;;;;5095654;28;20032;-44
43,2021/07/27 02:08:21;;;;;;;6.63;4.93;;;23.80;67.00;;;;;;5095615;28;20047;-50
44,2021/07/27 02:10:51;;;;;;;7.60;5.03;;;23.80;67.10;;;;;;5095512;28;20031;-43
45,2021/07/27 02:13:28;;;;;;;6.75;4.63;;;23.80;67.10;;;;;;5095523;28;20020;-43
46,2021/07/27 02:15:54;;;;;;;6.85;4.70;;;23.80;67.10;;;;;;5095333;28;20103;-48
47,2021/07/27 02:18:22;;;;;;;6.72;5.03;;;23.80;67.10;;;;;;5095426;28;20165;-44
48,2021/07/27 02:20:48;;;;;;;6.18;4.57;;;23.80;67.10;;;;;;5095374;28;20024;-44
49,2021/07/27 02:23:13;;;;;;;5.85;4.78;;;23.80;67.10;;;;;;5095242;28;20035;-44
50,2021/07/27 02:25:39;;;;;;;7.15;4.75;;;23.80;67.20;;;;;;5095183;28;20019;-45
51,2021/07/27 02:28:06;;;;;;;7.07;5.05;;;23.80;67.20;;;;;;5095078;28;20083;-48
52,2021/07/27 02:30:36;;;;;;;6.82;5.10;;;23.80;67.20;;;;;;5095082;28;20020;-47
53,2021/07/27 02:33:02;;;;;;;7.43;5.25;;;23.80;67.20;;;;;;5095203;28;20475;-48
54,2021/07/27 02:35:31;;;;;;;4.95;3.97;;;23.70;67.20;;;;;;5095175;28;20032;-49
55,2021/07/27 02:37:57;;;;;;;4.38;3.50;;;23.80;68.70;;;;;;5095103;28;20027;-43
56,2021/07/27 02:40:22;;;;;;;4.70;3.83;;;23.80;69.90;;;;;;5094912;28;20462;-46
57,2021/07/27 02:42:48;;;;;;;4.20;3.70;;;23.80;70.10;;;;;;5094781;28;20036;-48
58,2021/07/27 02:45:14;;;;;;;5.30;3.90;;;23.80;70.30;;;;;;5094965;28;20351;-43
59,2021/07/27 02:47:40;;;;;;;5.80;3.92;;;23.80;70.40;;;;;;5077097;28;20016;-41
60,2021/07/27 02:50:06;;;;;;;4.90;4.00;;;23.80;70.40;;;;;;5076736;28;20089;-44
61,2021/07/27 02:52:35;;;;;;;4.20;3.65;;;23.80;70.40;;;;;;5094219;28;20356;-46
62,2021/07/27 02:55:00;;;;;;;4.95;3.95;;;23.80;70.20;;;;;;5076187;28;20020;-42
63,2021/07/27 02:57:26;;;;;;;5.57;4.28;;;23.80;69.90;;;;;;5094889;28;20077;-43
64,2021/07/27 02:59:56;;;;;;;5.47;4.53;;;23.80;69.60;;;;;;5060151;28;20473;-43
65,2021/07/27 03:02:27;;;;;;;4.63;3.88;;;23.70;69.20;;;;;;5076688;28;20429;-43
66,2021/07/27 03:04:53;;;;;;;5.85;4.20;;;23.70;68.90;;;;;;5094469;28;20032;-41
67,2021/07/27 03:07:20;;;;;;;5.50;4.32;;;23.70;68.70;;;;;;5094689;28;20451;-42
68,2021/07/27 03:10:17;;;;;;;5.88;4.40;;;23.70;68.60;;;;;;5094288;28;20054;-41
69,2021/07/27 03:12:31;;;;;;;6.00;4.57;;;23.70;68.40;;;;;;5094190;28;20036;-43
70,2021/07/27 03:15:00;;;;;;;6.38;4.32;;;23.70;68.30;;;;;;5094388;28;20134;-42
71,2021/07/27 03:17:26;;;;;;;5.90;4.78;;;23.70;68.20;;;;;;5076378;28;20479;-43
72,2021/07/27 03:19:51;;;;;;;5.97;4.43;;;23.60;68.10;;;;;;5094169;28;20024;-45
73,2021/07/27 03:22:18;;;;;;;5.22;4.32;;;23.60;68.10;;;;;;5094222;28;20028;-44
74,2021/07/27 03:24:43;;;;;;;5.55;4.30;;;23.70;68.00;;;;;;5076154;28;20119;-44
75,2021/07/27 03:27:11;;;;;;;4.97;4.25;;;23.60;67.90;;;;;;5094526;28;20120;-44
76,2021/07/27 03:29:36;;;;;;;6.70;4.68;;;23.60;67.90;;;;;;5093951;28;20493;-42
77,2021/07/27 03:32:02;;;;;;;4.95;4.25;;;23.60;67.70;;;;;;5094060;28;20172;-41
78,2021/07/27 03:34:27;;;;;;;7.05;4.43;;;23.60;67.70;;;;;;5093893;28;20024;-41
79,2021/07/27 03:36:53;;;;;;;5.85;4.20;;;23.60;67.60;;;;;;5093925;28;20073;-42
80,2021/07/27 03:39:18;;;;;;;6.22;4.60;;;23.60;67.60;;;;;;5093704;28;20032;-48
81,2021/07/27 03:41:44;;;;;;;4.85;4.25;;;23.60;67.60;;;;;;5093909;28;20510;-43
82,2021/07/27 03:44:09;;;;;;;5.13;4.53;;;23.60;67.50;;;;;;5093942;28;20103;-44
83,2021/07/27 03:46:35;;;;;;;5.85;4.75;;;23.60;67.50;;;;;;5093848;28;20020;-43
84,2021/07/27 03:49:01;;;;;;;7.60;5.22;;;23.60;67.50;;;;;;5093546;28;20024;-43
85,2021/07/27 03:51:26;;;;;;;5.75;4.30;;;23.60;67.50;;;;;;5093795;28;20032;-46
86,2021/07/27 03:53:52;;;;;;;5.95;4.22;;;23.60;67.50;;;;;;5093623;28;20024;-44
87,2021/07/27 03:56:17;;;;;;;5.90;4.03;;;23.60;67.60;;;;;;5093464;28;20103;-42
88,2021/07/27 03:58:43;;;;;;;5.78;4.70;;;23.60;67.80;;;;;;5093489;28;20028;-43
89,2021/07/27 04:01:09;;;;;;;7.38;4.70;;;23.60;67.80;;;;;;5058707;28;20021;-42
90,2021/07/27 04:03:34;;;;;;;6.30;4.88;;;23.60;67.90;;;;;;5075131;28;20024;-44
91,2021/07/27 04:06:00;;;;;;;5.00;4.40;;;23.60;68.00;;;;;;5092605;28;20081;-48
92,2021/07/27 04:08:25;;;;;;;5.20;4.32;;;23.60;67.90;;;;;;5093235;28;20024;-50
93,2021/07/27 04:10:51;;;;;;;6.70;4.60;;;23.60;68.00;;;;;;5093345;28;20035;-47
94,2021/07/27 04:13:16;;;;;;;4.63;4.05;;;23.70;68.00;;;;;;5092974;28;20028;-45
95,2021/07/27 04:15:42;;;;;;;5.80;4.30;;;23.60;68.00;;;;;;5093100;28;20386;-42
96,2021/07/27 04:18:07;;;;;;;5.70;4.78;;;23.60;67.90;;;;;;5093031;28;20360;-43
97,2021/07/27 04:20:33;;;;;;;6.00;4.75;;;23.60;68.00;;;;;;5093058;28;20059;-51
98,2021/07/27 04:23:00;;;;;;;6.28;4.60;;;23.60;67.90;;;;;;5092783;28;20030;-49
99,2021/07/27 04:25:28;;;;;;;5.30;4.30;;;23.60;67.90;;;;;;5092924;28;20048;-44
100,2021/07/27 04:27:53;;;;;;;5.13;4.57;;;23.60;67.80;;;;;;5092788;28;20055;-46
101,2021/07/27 04:30:19;;;;;;;5.50;4.57;;;23.60;67.80;;;;;;5093002;28;20386;-44
102,2021/07/27 04:32:44;;;;;;;5.97;4.75;;;23.60;67.70;;;;;;5092656;28;20020;-45
103,2021/07/27 04:35:10;;;;;;;6.20;4.50;;;23.60;67.70;;;;;;5074753;28;20035;-43
104,2021/07/27 04:37:35;;;;;;;5.10;4.60;;;23.60;67.60;;;;;;5092768;28;20464;-48
105,2021/07/27 04:40:01;;;;;;;5.03;4.47;;;23.60;67.60;;;;;;5074709;28;20389;-49
106,2021/07/27 04:42:26;;;;;;;5.97;4.90;;;23.70;68.50;;;;;;5092807;28;20027;-43
107,2021/07/27 04:44:52;;;;;;;6.75;5.00;;;23.70;68.50;;;;;;5092617;28;20487;-47
108,2021/07/27 04:47:17;;;;;;;7.28;4.75;;;23.70;68.50;;;;;;5092749;28;20038;-55
109,2021/07/27 04:49:46;;;;;;;5.35;4.57;;;23.70;68.40;;;;;;5091894;28;20393;-55
110,2021/07/27 04:52:15;;;;;;;5.82;5.22;;;23.80;68.50;;;;;;5092167;28;20067;-54
111,2021/07/27 04:54:50;;;;;;;7.35;6.25;;;23.80;68.60;;;;;;5074511;28;20055;-50
112,2021/07/27 04:57:16;;;;;;;5.88;5.28;;;23.80;69.30;;;;;;5092723;28;20093;-49
113,2021/07/27 04:59:41;;;;;;;6.00;5.40;;;23.80;69.20;;;;;;5093918;28;20020;-53
114,2021/07/27 05:02:07;;;;;;;7.20;5.85;;;23.80;69.40;;;;;;5092025;28;20038;-52
115,2021/07/27 05:04:34;;;;;;;8.82;5.90;;;23.80;69.50;;;;;;5074081;28;20157;-53
116,2021/07/27 05:07:02;;;;;;;6.38;5.32;;;23.90;69.50;;;;;;5092223;28;20029;-56
117,2021/07/27 05:09:27;;;;;;;5.97;5.32;;;23.90;69.60;;;;;;5057503;28;20095;-51
118,2021/07/27 05:11:57;;;;;;;7.72;5.40;;;23.90;69.50;;;;;;5091564;28;20032;-55
119,2021/07/27 05:14:23;;;;;;;6.15;5.28;;;23.90;69.50;;;;;;5091625;28;20063;-52
120,2021/07/27 05:16:48;;;;;;;6.30;5.15;;;23.90;69.40;;;;;;5073506;28;20126;-48
121,2021/07/27 05:19:13;;;;;;;7.13;5.28;;;24.00;69.30;;;;;;5087694;28;20037;-51
122,2021/07/27 05:21:40;;;;;;;6.07;4.90;;;24.00;69.10;;;;;;5071697;28;20029;-50
123,2021/07/27 05:24:05;;;;;;;5.22;4.60;;;24.10;69.00;;;;;;5071730;28;20017;-49
124,2021/07/27 05:26:31;;;;;;;6.43;5.10;;;24.10;68.90;;;;;;5087396;28;20033;-54
125,2021/07/27 05:28:56;;;;;;;5.38;4.88;;;24.10;68.80;;;;;;5071784;28;20063;-53
126,2021/07/27 05:31:25;;;;;;;8.00;4.88;;;24.20;68.70;;;;;;5071632;28;20024;-52
127,2021/07/27 05:33:50;;;;;;;5.70;4.90;;;24.20;68.50;;;;;;5071983;28;20483;-50
128,2021/07/27 05:36:16;;;;;;;5.72;5.00;;;24.20;68.50;;;;;;5085093;28;20035;-50
129,2021/07/27 05:38:41;;;;;;;5.50;4.70;;;24.20;68.40;;;;;;5091973;28;20020;-53
130,2021/07/27 05:41:07;;;;;;;7.57;5.05;;;24.20;68.30;;;;;;5091606;28;20028;-47
131,2021/07/27 05:43:32;;;;;;;6.90;4.72;;;24.20;68.30;;;;;;5091632;28;20046;-52
132,2021/07/27 05:45:58;;;;;;;5.40;4.90;;;24.20;68.20;;;;;;5092064;28;20023;-53
133,2021/07/27 05:48:23;;;;;;;4.65;4.07;;;24.30;68.20;;;;;;5092351;28;20044;-54
