,Time,durP1,ratioP1,P1,durP2,ratioP2,P2,SDS_P1,SDS_P2,PMS_P1,PMS_P2,Temp,Humidity,BMP_temperature,BMP_pressure,BME280_temperature,BME280_humidity,BME280_pressure,Samples,Min_cycle,Max_cycle,Signal,HPM_P1,HPM_P2
0,2021/11/09 00:01:50,,,,,,,4.7,1.0,,,24.0,50.5,,,,,,5095308,28,20510,-48,,
1,2021/11/09 00:04:15,,,,,,,4.13,1.0,,,24.0,50.5,,,,,,5112228,27,20351,-50,,
2,2021/11/09 00:06:43,,,,,,,4.25,1.0,,,24.0,50.4,,,,,,5112098,27,20049,-51,,
3,2021/11/09 00:09:15,,,,,,,2.47,0.8,,,24.0,50.5,,,,,,5110748,28,20394,-50,,
4,2021/11/09 00:11:40,,,,,,,2.6,0.88,,,24.0,50.7,,,,,,5115134,27,20505,-52,,
5,2021/11/09 00:14:06,,,,,,,2.25,0.75,,,24.0,50.9,,,,,,5132437,27,20065,-47,,
6,2021/11/09 00:16:31,,,,,,,2.92,0.9,,,24.0,51.0,,,,,,5131440,27,20110,-47,,
7,2021/11/09 00:18:58,,,,,,,2.83,0.9,,,24.0,51.1,,,,,,5131807,27,20027,-50,,
8,2021/11/09 00:21:23,,,,,,,3.9,0.9,,,24.1,51.2,,,,,,5110994,27,20031,-50,,
9,2021/11/09 00:23:49,,,,,,,3.95,1.0,,,24.1,51.1,,,,,,5115430,27,20474,-47,,
10,2021/11/09 00:26:15,,,,,,,3.33,1.0,,,24.1,51.1,,,,,,5131926,27,20484,-51,,
11,2021/11/09 00:28:40,,,,,,,2.8,0.8,,,24.1,51.0,,,,,,5124172,27,20435,-48,,
12,2021/11/09 00:31:06,,,,,,,3.13,0.9,,,24.1,51.0,,,,,,5109502,28,20024,-50,,
13,2021/11/09 00:33:32,,,,,,,3.05,0.9,,,24.1,51.0,,,,,,5109950,27,20055,-48,,
14,2021/11/09 00:35:57,,,,,,,3.85,1.3,,,24.1,51.0,,,,,,5075316,28,20067,-49,,
15,2021/11/09 00:38:22,,,,,,,2.78,0.68,,,24.2,51.0,,,,,,5110359,28,20463,-49,,
16,2021/11/09 00:40:48,,,,,,,3.1,0.8,,,24.1,51.0,,,,,,5092469,28,20051,-48,,
