Datum,Zeit,PM10,PM25,PM100
24Oct2021,12:14:36,4.0,5.0,5.0
24Oct2021,12:14:37,4.0,5.0,5.0
24Oct2021,12:14:38,4.0,5.0,5.0
24Oct2021,12:14:39,4.0,5.0,5.0
24Oct2021,12:14:40,4.0,5.0,5.0
24Oct2021,12:14:41,3.0,4.0,5.0
24Oct2021,12:14:42,3.0,4.0,5.0
24Oct2021,12:14:43,3.0,4.0,5.0
24Oct2021,12:14:44,3.0,4.0,5.0
24Oct2021,12:14:45,3.0,4.0,5.0
24Oct2021,12:14:46,3.0,3.0,5.0
24Oct2021,12:14:47,3.0,3.0,5.0
24Oct2021,12:14:48,3.0,4.0,5.0
24Oct2021,12:14:49,3.0,4.0,5.0
24Oct2021,12:14:50,4.0,4.0,6.0
24Oct2021,12:14:51,3.0,4.0,5.0
24Oct2021,12:14:52,3.0,4.0,5.0
24Oct2021,12:14:53,4.0,4.0,5.0
24Oct2021,12:14:54,4.0,4.0,5.0
24Oct2021,12:14:55,4.0,4.0,5.0
24Oct2021,12:14:56,4.0,4.0,5.0
24Oct2021,12:14:57,4.0,4.0,6.0
24Oct2021,12:14:58,4.0,4.0,5.0
24Oct2021,12:14:59,4.0,4.0,5.0
24Oct2021,12:15:00,4.0,5.0,5.0
24Oct2021,12:15:01,4.0,5.0,5.0
24Oct2021,12:15:02,4.0,5.0,6.0
24Oct2021,12:15:03,4.0,5.0,6.0
24Oct2021,12:15:04,4.0,5.0,6.0
24Oct2021,12:15:05,4.0,5.0,6.0
24Oct2021,12:15:06,4.0,5.0,6.0
24Oct2021,12:15:07,4.0,5.0,6.0
24Oct2021,12:15:08,4.0,5.0,6.0
24Oct2021,12:15:09,4.0,5.0,7.0
24Oct2021,12:15:10,4.0,5.0,7.0
24Oct2021,12:15:11,5.0,6.0,7.0
24Oct2021,12:15:12,5.0,6.0,7.0
24Oct2021,12:15:13,5.0,6.0,7.0
24Oct2021,12:15:14,5.0,6.0,7.0
24Oct2021,12:15:15,5.0,6.0,7.0
24Oct2021,12:15:16,5.0,6.0,8.0
24Oct2021,12:15:17,5.0,6.0,8.0
24Oct2021,12:15:18,5.0,6.0,7.0
24Oct2021,12:15:19,5.0,6.0,7.0
24Oct2021,12:15:20,5.0,6.0,7.0
24Oct2021,12:15:21,5.0,6.0,7.0
24Oct2021,12:15:22,5.0,6.0,7.0
24Oct2021,12:15:23,5.0,6.0,7.0
24Oct2021,12:15:24,5.0,6.0,7.0
24Oct2021,12:15:25,5.0,6.0,6.0
24Oct2021,12:15:26,5.0,6.0,6.0
24Oct2021,12:15:27,5.0,6.0,6.0
24Oct2021,12:15:28,5.0,5.0,6.0
24Oct2021,12:15:29,5.0,5.0,6.0
24Oct2021,12:15:30,5.0,5.0,6.0
24Oct2021,12:15:31,5.0,5.0,6.0
24Oct2021,12:15:32,5.0,5.0,7.0
24Oct2021,12:15:33,5.0,5.0,7.0
24Oct2021,12:15:34,5.0,5.0,6.0
24Oct2021,12:15:35,4.0,4.0,5.0
24Oct2021,12:15:36,4.0,4.0,5.0
24Oct2021,12:15:37,5.0,6.0,7.0
24Oct2021,12:15:38,5.0,6.0,7.0
24Oct2021,12:15:39,5.0,6.0,7.0
24Oct2021,12:15:40,5.0,6.0,7.0
24Oct2021,12:15:41,5.0,6.0,7.0
24Oct2021,12:15:42,5.0,6.0,7.0
24Oct2021,12:15:43,5.0,6.0,7.0
24Oct2021,12:15:44,5.0,6.0,7.0
24Oct2021,12:15:45,5.0,6.0,7.0
24Oct2021,12:15:46,5.0,6.0,7.0
24Oct2021,12:15:47,5.0,6.0,7.0
24Oct2021,12:15:48,4.0,5.0,6.0
24Oct2021,12:15:49,4.0,5.0,6.0
24Oct2021,12:15:50,4.0,5.0,6.0
24Oct2021,12:15:51,4.0,5.0,6.0
24Oct2021,12:15:52,4.0,5.0,6.0
24Oct2021,12:15:53,4.0,5.0,6.0
24Oct2021,12:15:54,4.0,5.0,6.0
24Oct2021,12:15:55,4.0,5.0,5.0
24Oct2021,12:15:56,4.0,5.0,5.0
24Oct2021,12:15:57,4.0,5.0,6.0
24Oct2021,12:15:58,5.0,6.0,6.0
24Oct2021,12:15:59,5.0,6.0,6.0
24Oct2021,12:16:00,5.0,6.0,6.0
24Oct2021,12:16:01,5.0,6.0,6.0
24Oct2021,12:16:02,5.0,6.0,7.0
24Oct2021,12:16:03,5.0,6.0,7.0
24Oct2021,12:16:04,4.0,5.0,5.0
24Oct2021,12:16:05,4.0,4.0,5.0
