Datum,Zeit,PM10,PM25,PM100
03Nov2021,20:16:50,8.0,10.0,12.0
03Nov2021,20:16:51,8.0,10.0,12.0
03Nov2021,20:16:52,8.0,10.0,12.0
03Nov2021,20:16:53,8.0,11.0,12.0
03Nov2021,20:16:54,8.0,11.0,12.0
03Nov2021,20:16:55,8.0,11.0,12.0
03Nov2021,20:16:56,8.0,11.0,13.0
03Nov2021,20:16:57,8.0,11.0,13.0
03Nov2021,20:16:58,8.0,11.0,13.0
03Nov2021,20:16:59,9.0,11.0,13.0
03Nov2021,20:17:00,9.0,11.0,13.0
03Nov2021,20:17:01,9.0,12.0,13.0
03Nov2021,20:17:02,9.0,12.0,13.0
03Nov2021,20:17:03,9.0,13.0,13.0
03Nov2021,20:17:04,10.0,14.0,14.0
03Nov2021,20:17:05,10.0,14.0,14.0
03Nov2021,20:17:06,9.0,13.0,14.0
03Nov2021,20:17:07,8.0,12.0,13.0
03Nov2021,20:17:08,8.0,13.0,14.0
03Nov2021,20:17:09,8.0,13.0,14.0
03Nov2021,20:17:10,9.0,13.0,14.0
03Nov2021,20:17:11,9.0,14.0,15.0
03Nov2021,20:17:12,9.0,14.0,15.0
03Nov2021,20:17:13,8.0,13.0,14.0
03Nov2021,20:17:14,8.0,13.0,14.0
03Nov2021,20:17:15,8.0,13.0,13.0
03Nov2021,20:17:16,8.0,13.0,13.0
03Nov2021,20:17:17,8.0,13.0,13.0
03Nov2021,20:17:18,8.0,12.0,13.0
03Nov2021,20:17:19,9.0,13.0,14.0
03Nov2021,20:17:20,9.0,13.0,13.0
03Nov2021,20:17:21,9.0,13.0,13.0
03Nov2021,20:17:22,7.0,12.0,12.0
03Nov2021,20:17:23,8.0,12.0,12.0
03Nov2021,20:17:24,8.0,12.0,12.0
03Nov2021,20:17:25,8.0,11.0,11.0
03Nov2021,20:17:26,8.0,11.0,11.0
03Nov2021,20:17:27,7.0,11.0,11.0
03Nov2021,20:17:28,8.0,12.0,12.0
03Nov2021,20:17:29,9.0,13.0,13.0
03Nov2021,20:17:30,9.0,13.0,13.0
03Nov2021,20:17:31,9.0,12.0,12.0
03Nov2021,20:17:32,9.0,12.0,12.0
03Nov2021,20:17:33,8.0,12.0,12.0
03Nov2021,20:17:34,8.0,12.0,12.0
03Nov2021,20:17:35,8.0,12.0,12.0
03Nov2021,20:17:36,8.0,12.0,12.0
03Nov2021,20:17:37,8.0,12.0,12.0
03Nov2021,20:17:38,8.0,11.0,12.0
03Nov2021,20:17:39,8.0,11.0,12.0
03Nov2021,20:17:40,7.0,11.0,11.0
03Nov2021,20:17:41,7.0,11.0,11.0
03Nov2021,20:17:42,7.0,11.0,11.0
03Nov2021,20:17:43,9.0,12.0,13.0
03Nov2021,20:17:44,9.0,12.0,13.0
03Nov2021,20:17:45,9.0,11.0,12.0
03Nov2021,20:17:46,8.0,10.0,11.0
03Nov2021,20:17:47,7.0,10.0,11.0
03Nov2021,20:17:48,8.0,11.0,11.0
03Nov2021,20:17:49,8.0,11.0,11.0
03Nov2021,20:17:50,8.0,11.0,11.0
03Nov2021,20:17:51,8.0,11.0,11.0
03Nov2021,20:17:52,9.0,12.0,12.0
03Nov2021,20:17:53,9.0,12.0,13.0
03Nov2021,20:17:54,9.0,12.0,13.0
03Nov2021,20:17:55,10.0,12.0,13.0
03Nov2021,20:17:56,10.0,12.0,13.0
03Nov2021,20:17:57,10.0,12.0,13.0
03Nov2021,20:17:58,10.0,12.0,13.0
03Nov2021,20:17:59,9.0,12.0,13.0
03Nov2021,20:18:00,9.0,12.0,13.0
03Nov2021,20:18:01,9.0,12.0,12.0
03Nov2021,20:18:02,9.0,12.0,13.0
03Nov2021,20:18:03,9.0,12.0,13.0
03Nov2021,20:18:04,9.0,12.0,13.0
03Nov2021,20:18:05,9.0,12.0,13.0
03Nov2021,20:18:06,10.0,12.0,14.0
03Nov2021,20:18:07,10.0,12.0,14.0
03Nov2021,20:18:08,10.0,12.0,13.0
03Nov2021,20:18:09,8.0,11.0,12.0
03Nov2021,20:18:10,8.0,11.0,12.0
03Nov2021,20:18:11,8.0,11.0,12.0
03Nov2021,20:18:12,8.0,11.0,12.0
03Nov2021,20:18:13,9.0,12.0,13.0
03Nov2021,20:18:14,9.0,12.0,13.0
03Nov2021,20:18:15,9.0,12.0,14.0
03Nov2021,20:18:16,9.0,12.0,14.0
03Nov2021,20:18:17,10.0,12.0,14.0
03Nov2021,20:18:18,9.0,12.0,14.0
03Nov2021,20:18:19,9.0,12.0,14.0
03Nov2021,20:18:20,9.0,12.0,14.0
03Nov2021,20:18:21,9.0,12.0,14.0
03Nov2021,20:18:22,11.0,13.0,16.0
03Nov2021,20:18:23,11.0,14.0,15.0
03Nov2021,20:18:24,10.0,13.0,14.0
03Nov2021,20:18:25,10.0,13.0,14.0
03Nov2021,20:18:26,10.0,13.0,14.0
03Nov2021,20:18:27,10.0,12.0,14.0
03Nov2021,20:18:28,11.0,13.0,15.0
03Nov2021,20:18:29,11.0,13.0,15.0
03Nov2021,20:18:30,11.0,13.0,15.0
03Nov2021,20:18:31,10.0,13.0,14.0
03Nov2021,20:18:32,10.0,13.0,13.0
03Nov2021,20:18:33,10.0,13.0,13.0
03Nov2021,20:18:34,10.0,13.0,14.0
03Nov2021,20:18:35,10.0,13.0,14.0
03Nov2021,20:18:36,10.0,13.0,13.0
03Nov2021,20:18:37,10.0,13.0,13.0
03Nov2021,20:18:38,10.0,13.0,13.0
03Nov2021,20:18:39,9.0,12.0,12.0
03Nov2021,20:18:40,9.0,12.0,12.0
03Nov2021,20:18:41,9.0,11.0,11.0
03Nov2021,20:18:42,9.0,11.0,11.0
03Nov2021,20:18:43,9.0,12.0,12.0
03Nov2021,20:18:44,9.0,12.0,12.0
03Nov2021,20:18:45,9.0,11.0,11.0
03Nov2021,20:18:46,9.0,11.0,13.0
03Nov2021,20:18:47,9.0,11.0,13.0
03Nov2021,20:18:48,9.0,12.0,13.0
03Nov2021,20:18:49,9.0,12.0,13.0
03Nov2021,20:18:50,9.0,11.0,12.0
03Nov2021,20:18:51,9.0,11.0,12.0
03Nov2021,20:18:52,8.0,10.0,11.0
03Nov2021,20:18:53,8.0,10.0,11.0
03Nov2021,20:18:54,9.0,11.0,12.0
03Nov2021,20:18:55,9.0,11.0,12.0
03Nov2021,20:18:56,9.0,11.0,12.0
03Nov2021,20:18:57,9.0,11.0,13.0
03Nov2021,20:18:58,8.0,10.0,12.0
03Nov2021,20:18:59,8.0,10.0,12.0
03Nov2021,20:19:00,8.0,11.0,12.0
03Nov2021,20:19:01,8.0,11.0,12.0
03Nov2021,20:19:02,8.0,11.0,13.0
03Nov2021,20:19:03,8.0,11.0,13.0
03Nov2021,20:19:04,8.0,11.0,11.0
03Nov2021,20:19:05,8.0,11.0,11.0
03Nov2021,20:19:06,8.0,11.0,11.0
03Nov2021,20:19:07,8.0,11.0,11.0
03Nov2021,20:19:08,8.0,11.0,11.0
03Nov2021,20:19:09,9.0,11.0,11.0
03Nov2021,20:19:10,9.0,11.0,11.0
03Nov2021,20:19:11,9.0,11.0,12.0
03Nov2021,20:19:12,9.0,11.0,12.0
03Nov2021,20:19:13,9.0,12.0,12.0
03Nov2021,20:19:14,9.0,12.0,12.0
03Nov2021,20:19:15,9.0,12.0,12.0
03Nov2021,20:19:16,9.0,12.0,12.0
03Nov2021,20:19:17,9.0,12.0,12.0
03Nov2021,20:19:18,10.0,12.0,12.0
03Nov2021,20:19:19,10.0,12.0,12.0
03Nov2021,20:19:20,9.0,11.0,12.0
03Nov2021,20:19:21,9.0,11.0,12.0
03Nov2021,20:19:22,10.0,11.0,12.0
03Nov2021,20:19:23,10.0,11.0,12.0
03Nov2021,20:19:24,10.0,11.0,12.0
