Datum,Zeit,PM10,PM25,PM100
07Jul2021,18:22:05,29.0,40.0,47.0
07Jul2021,18:22:06,29.0,40.0,47.0
07Jul2021,18:22:07,29.0,39.0,47.0
07Jul2021,18:22:08,29.0,39.0,47.0
07Jul2021,18:22:09,29.0,39.0,47.0
07Jul2021,18:22:10,29.0,39.0,47.0
07Jul2021,18:22:11,29.0,39.0,47.0
07Jul2021,18:22:12,29.0,40.0,47.0
07Jul2021,18:22:13,29.0,40.0,47.0
07Jul2021,18:22:14,29.0,39.0,47.0
07Jul2021,18:22:15,29.0,39.0,47.0
07Jul2021,18:22:16,28.0,39.0,46.0
07Jul2021,18:22:17,28.0,39.0,46.0
07Jul2021,18:22:18,28.0,38.0,45.0
07Jul2021,18:22:19,29.0,39.0,47.0
07Jul2021,18:22:20,28.0,40.0,47.0
07Jul2021,18:22:21,29.0,40.0,47.0
07Jul2021,18:22:22,29.0,40.0,47.0
07Jul2021,18:22:23,28.0,40.0,47.0
07Jul2021,18:22:24,29.0,40.0,47.0
07Jul2021,18:22:25,28.0,40.0,48.0
07Jul2021,18:22:26,29.0,41.0,48.0
07Jul2021,18:22:27,29.0,42.0,49.0
07Jul2021,18:22:28,29.0,42.0,49.0
07Jul2021,18:22:29,29.0,41.0,49.0
07Jul2021,18:22:30,29.0,42.0,49.0
07Jul2021,18:22:31,29.0,42.0,49.0
07Jul2021,18:22:32,29.0,42.0,50.0
07Jul2021,18:22:33,29.0,42.0,50.0
07Jul2021,18:22:34,30.0,42.0,50.0
07Jul2021,18:22:35,30.0,42.0,50.0
07Jul2021,18:22:36,29.0,42.0,50.0
07Jul2021,18:22:37,29.0,41.0,49.0
07Jul2021,18:22:38,29.0,41.0,49.0
07Jul2021,18:22:39,29.0,42.0,50.0
07Jul2021,18:22:40,29.0,42.0,50.0
07Jul2021,18:22:41,29.0,41.0,49.0
07Jul2021,18:22:42,29.0,41.0,49.0
07Jul2021,18:22:43,29.0,41.0,49.0
07Jul2021,18:22:44,29.0,41.0,47.0
07Jul2021,18:22:45,29.0,41.0,47.0
07Jul2021,18:22:46,29.0,40.0,47.0
07Jul2021,18:22:47,29.0,40.0,47.0
07Jul2021,18:22:48,29.0,40.0,47.0
07Jul2021,18:22:49,29.0,40.0,47.0
07Jul2021,18:22:50,29.0,39.0,46.0
07Jul2021,18:22:51,28.0,38.0,45.0
07Jul2021,18:22:52,28.0,38.0,45.0
07Jul2021,18:22:53,29.0,38.0,45.0
07Jul2021,18:22:54,29.0,39.0,45.0
