Datum,Zeit,PM10,PM25,PM100
25Oct2021,13:33:21,5.0,6.0,6.0
25Oct2021,13:33:22,5.0,7.0,7.0
25Oct2021,13:33:23,5.0,7.0,7.0
25Oct2021,13:33:24,5.0,7.0,7.0
25Oct2021,13:33:25,5.0,7.0,7.0
25Oct2021,13:33:26,5.0,7.0,7.0
25Oct2021,13:33:27,4.0,6.0,6.0
25Oct2021,13:33:28,4.0,6.0,6.0
25Oct2021,13:33:29,5.0,6.0,6.0
25Oct2021,13:33:30,5.0,6.0,6.0
25Oct2021,13:33:31,5.0,6.0,6.0
25Oct2021,13:33:32,4.0,6.0,6.0
25Oct2021,13:33:33,4.0,6.0,6.0
25Oct2021,13:33:34,5.0,6.0,6.0
25Oct2021,13:33:35,5.0,6.0,6.0
25Oct2021,13:33:36,5.0,7.0,7.0
25Oct2021,13:33:37,5.0,6.0,6.0
25Oct2021,13:33:38,4.0,5.0,5.0
25Oct2021,13:33:39,4.0,5.0,5.0
25Oct2021,13:33:40,4.0,5.0,5.0
25Oct2021,13:33:41,5.0,5.0,5.0
25Oct2021,13:33:42,5.0,5.0,5.0
25Oct2021,13:33:43,5.0,5.0,5.0
25Oct2021,13:33:44,5.0,6.0,6.0
25Oct2021,13:33:45,5.0,6.0,6.0
25Oct2021,13:33:46,5.0,5.0,5.0
25Oct2021,13:33:47,5.0,5.0,5.0
25Oct2021,13:33:48,4.0,5.0,5.0
25Oct2021,13:33:49,4.0,5.0,5.0
25Oct2021,13:33:50,4.0,5.0,5.0
25Oct2021,13:33:51,5.0,6.0,6.0
25Oct2021,13:33:52,5.0,6.0,7.0
25Oct2021,13:33:53,4.0,5.0,6.0
25Oct2021,13:33:54,4.0,5.0,6.0
25Oct2021,13:33:55,4.0,5.0,6.0
25Oct2021,13:33:56,4.0,5.0,6.0
25Oct2021,13:33:57,4.0,5.0,6.0
25Oct2021,13:33:58,4.0,5.0,6.0
25Oct2021,13:33:59,4.0,5.0,6.0
25Oct2021,13:34:00,3.0,4.0,5.0
25Oct2021,13:34:01,3.0,4.0,5.0
25Oct2021,13:34:02,3.0,4.0,5.0
25Oct2021,13:34:03,3.0,4.0,5.0
25Oct2021,13:34:04,4.0,4.0,5.0
25Oct2021,13:34:05,4.0,4.0,5.0
25Oct2021,13:34:06,5.0,5.0,6.0
