Time;durP1;ratioP1;P1;durP2;ratioP2;P2;SDS_P1;SDS_P2;PMS_P1;PMS_P2;Temp;Humidity;BMP_temperature;BMP_pressure;BME280_temperature;BME280_humidity;BME280_pressure;Samples;Min_cycle;Max_cycle;Signal;HPM_P1;HPM_P2
2021/10/24 12:15:00;;;;;;;8.00;2.35;;;23.80;40.00;;;;;;5070394;28;20359;-50;;
2021/10/24 12:18:00;;;;;;;4.45;1.77;;;23.80;40.00;;;;;;5071374;28;20032;-49;;
2021/10/24 12:20:00;;;;;;;6.03;1.80;;;23.80;39.80;;;;;;5053343;28;20024;-49;;
2021/10/24 12:23:00;;;;;;;3.83;1.92;;;23.80;39.70;;;;;;5050430;28;20021;-50;;
2021/10/24 12:25:00;;;;;;;6.47;1.85;;;23.80;39.80;;;;;;5052305;28;20044;-52;;
2021/10/24 12:28:00;;;;;;;6.32;1.90;;;23.80;39.90;;;;;;5058720;28;20182;-51;;
2021/10/24 12:31:00;;;;;;;5.55;1.88;;;23.80;39.60;;;;;;5049619;28;20370;-53;;
2021/10/24 12:33:00;;;;;;;5.20;1.77;;;23.80;39.40;;;;;;5048021;28;20452;-50;;
2021/10/24 12:36:00;;;;;;;3.90;1.58;;;23.80;39.20;;;;;;5049389;28;20025;-49;;
2021/10/24 12:39:00;;;;;;;3.47;1.58;;;23.80;39.30;;;;;;5033296;28;20048;-51;;
2021/10/24 12:41:00;;;;;;;5.47;1.60;;;23.80;39.30;;;;;;5019575;28;20119;-50;;
2021/10/24 12:44:00;;;;;;;4.43;1.55;;;23.80;39.40;;;;;;5041671;28;20132;-50;;
2021/10/24 12:46:00;;;;;;;3.58;1.50;;;23.80;39.40;;;;;;5048903;28;20067;-51;;
2021/10/24 12:49:00;;;;;;;4.03;1.75;;;23.80;39.40;;;;;;5030556;28;20037;-52;;
2021/10/24 12:51:00;;;;;;;4.40;1.38;;;23.80;39.30;;;;;;5047904;28;20037;-54;;
2021/10/24 12:54:00;;;;;;;5.53;1.30;;;23.80;39.30;;;;;;5047266;28;20041;-53;;
2021/10/24 12:56:00;;;;;;;3.58;1.77;;;23.80;39.10;;;;;;5046003;28;20028;-53;;
2021/10/24 12:59:00;;;;;;;4.47;1.48;;;23.80;39.10;;;;;;5050182;28;20384;-54;;
2021/10/24 13:01:00;;;;;;;4.35;1.60;;;23.80;39.10;;;;;;5071169;28;20020;-48;;
2021/10/24 13:04:00;;;;;;;2.77;1.40;;;23.80;39.10;;;;;;5069445;28;20033;-52;;
2021/10/24 13:06:00;;;;;;;3.13;1.20;;;23.80;38.90;;;;;;5070696;28;20281;-52;;
2021/10/24 13:08:00;;;;;;;3.03;1.20;;;23.80;39.10;;;;;;5069616;28;20382;-48;;
2021/10/24 13:11:00;;;;;;;3.20;1.33;;;23.80;39.20;;;;;;5069882;28;20021;-53;;
2021/10/24 13:13:00;;;;;;;3.35;1.55;;;23.80;39.10;;;;;;5070491;28;20111;-52;;
2021/10/24 13:16:00;;;;;;;4.82;1.50;;;23.80;38.90;;;;;;5053588;28;20024;-53;;
2021/10/24 13:18:00;;;;;;;3.05;1.25;;;23.80;39.10;;;;;;5070184;28;20107;-53;;
2021/10/24 13:21:00;;;;;;;4.15;1.55;;;23.80;39.00;;;;;;5069742;28;20029;-51;;
2021/10/24 13:23:00;;;;;;;4.35;1.30;;;23.80;38.90;;;;;;5050274;28;20111;-51;;
2021/10/24 13:25:00;;;;;;;3.67;1.17;;;23.90;38.80;;;;;;5034223;28;20465;-52;;
2021/10/24 13:28:00;;;;;;;3.53;1.30;;;23.90;38.70;;;;;;5033268;28;20041;-47;;
2021/10/24 13:30:00;;;;;;;4.10;1.40;;;23.90;38.50;;;;;;5050625;28;20060;-52;;
2021/10/24 13:33:00;;;;;;;3.13;1.15;;;23.90;38.40;;;;;;5050452;28;20060;-53;;
2021/10/24 13:35:00;;;;;;;5.28;1.35;;;23.90;38.20;;;;;;5051514;28;20453;-50;;
2021/10/24 13:38:00;;;;;;;3.75;1.20;;;24.00;38.20;;;;;;5033501;28;20041;-51;;
2021/10/24 13:40:00;;;;;;;3.17;1.10;;;24.00;38.20;;;;;;5051448;28;21530;-52;;
2021/10/24 13:43:00;;;;;;;4.20;1.30;;;23.90;38.30;;;;;;5070730;28;20032;-51;;
2021/10/24 13:45:00;;;;;;;4.20;1.52;;;24.00;38.30;;;;;;5070755;28;20033;-52;;
2021/10/24 13:47:00;;;;;;;2.25;1.20;;;24.00;38.10;;;;;;5053345;28;20081;-52;;
2021/10/24 13:50:00;;;;;;;7.32;1.90;;;24.00;38.10;;;;;;5069584;28;20040;-48;;
2021/10/24 13:52:00;;;;;;;2.92;1.15;;;24.00;38.20;;;;;;5070320;28;20021;-46;;
2021/10/24 13:55:00;;;;;;;4.32;1.40;;;23.90;38.30;;;;;;5070049;28;20079;-47;;
2021/10/24 13:57:00;;;;;;;2.40;1.20;;;24.00;38.40;;;;;;5069825;28;20028;-46;;
2021/10/24 14:00:00;;;;;;;3.10;1.17;;;24.00;38.40;;;;;;5069917;28;20025;-48;;
2021/10/24 14:02:00;;;;;;;2.90;1.13;;;24.00;38.30;;;;;;5069600;28;20505;-47;;
2021/10/24 14:04:00;;;;;;;2.67;1.30;;;23.90;38.30;;;;;;5068802;28;20024;-45;;
2021/10/24 14:07:00;;;;;;;3.50;1.10;;;23.90;38.30;;;;;;5069484;28;20028;-51;;
2021/10/24 14:09:00;;;;;;;3.97;1.30;;;23.90;38.10;;;;;;5070131;28;20021;-46;;
2021/10/24 14:12:00;;;;;;;3.50;1.05;;;23.90;38.20;;;;;;5068491;28;20060;-48;;
2021/10/24 14:14:00;;;;;;;2.88;1.13;;;23.90;38.10;;;;;;5068330;28;20021;-51;;
2021/10/24 14:17:00;;;;;;;3.10;1.30;;;23.90;38.30;;;;;;5068600;28;20361;-50;;
2021/10/24 14:19:00;;;;;;;3.65;1.27;;;23.90;38.30;;;;;;5052320;28;20024;-50;;
2021/10/24 14:22:00;;;;;;;3.75;1.63;;;23.90;38.40;;;;;;5043514;28;20122;-46;;
2021/10/24 14:24:00;;;;;;;2.88;1.27;;;23.90;38.40;;;;;;5049946;28;20108;-47;;
2021/10/24 14:26:00;;;;;;;4.22;1.27;;;23.90;38.40;;;;;;5049694;28;20518;-47;;
2021/10/24 14:29:00;;;;;;;4.28;1.17;;;23.90;38.50;;;;;;5048456;28;20045;-45;;
2021/10/24 14:31:00;;;;;;;3.05;1.33;;;23.90;38.50;;;;;;5015781;28;20041;-48;;
2021/10/24 14:34:00;;;;;;;4.13;1.48;;;23.90;38.50;;;;;;5048660;28;20143;-50;;
2021/10/24 14:36:00;;;;;;;3.83;1.30;;;23.90;38.40;;;;;;5050394;28;20051;-52;;
2021/10/24 14:39:00;;;;;;;2.03;0.80;;;23.90;38.30;;;;;;5049469;28;20029;-53;;
2021/10/24 14:41:00;;;;;;;3.17;1.38;;;23.90;38.30;;;;;;5031921;28;20037;-48;;
2021/10/24 14:44:00;;;;;;;3.15;1.00;;;23.90;38.30;;;;;;5031568;28;20047;-48;;
2021/10/24 14:46:00;;;;;;;3.25;1.02;;;23.90;38.60;;;;;;5031435;28;20495;-48;;
2021/10/24 14:49:00;;;;;;;3.67;1.13;;;23.90;39.00;;;;;;5049859;28;20413;-48;;
2021/10/24 14:51:00;;;;;;;6.38;1.40;;;23.90;39.30;;;;;;5050564;28;20021;-46;;
2021/10/24 14:53:00;;;;;;;5.30;1.58;;;24.00;39.70;;;;;;5048824;28;20033;-45;;
2021/10/24 14:56:00;;;;;;;7.25;1.60;;;23.90;39.80;;;;;;5048471;28;20067;-48;;
2021/10/24 14:58:00;;;;;;;4.53;1.30;;;24.00;40.00;;;;;;5049462;28;20113;-44;;
2021/10/24 15:01:00;;;;;;;2.72;1.20;;;23.90;40.00;;;;;;5049466;28;20098;-43;;
2021/10/24 15:03:00;;;;;;;7.20;1.42;;;23.90;40.20;;;;;;5049327;28;20063;-45;;
2021/10/24 15:06:00;;;;;;;5.43;1.50;;;24.00;40.50;;;;;;5049707;28;20412;-46;;
2021/10/24 15:08:00;;;;;;;5.53;1.75;;;23.90;40.60;;;;;;5032287;28;20116;-43;;
2021/10/24 15:10:00;;;;;;;2.80;1.20;;;24.00;40.80;;;;;;5031921;28;20449;-41;;
2021/10/24 15:13:00;;;;;;;3.88;1.20;;;24.00;40.90;;;;;;5049714;28;20354;-46;;
2021/10/24 15:15:00;;;;;;;3.88;1.30;;;24.00;40.80;;;;;;5049765;28;20477;-43;;
2021/10/24 15:18:00;;;;;;;5.65;1.33;;;24.00;40.70;;;;;;5049669;28;20508;-44;;
2021/10/24 15:21:00;;;;;;;5.43;1.55;;;24.00;40.80;;;;;;5053606;28;20082;-42;;
2021/10/24 15:23:00;;;;;;;4.47;1.10;;;24.00;40.50;;;;;;5038172;28;20765;-41;;
2021/10/24 15:26:00;;;;;;;5.03;1.30;;;23.90;40.50;;;;;;5034242;28;20120;-42;;
2021/10/24 15:28:00;;;;;;;3.70;1.45;;;24.00;40.60;;;;;;5071288;28;20132;-42;;
2021/10/24 15:30:00;;;;;;;3.42;1.30;;;23.90;40.70;;;;;;5054917;28;20028;-43;;
2021/10/24 15:33:00;;;;;;;2.63;1.02;;;23.90;40.70;;;;;;5030909;28;20111;-41;;
2021/10/24 15:35:00;;;;;;;4.93;1.40;;;23.90;40.70;;;;;;5034350;28;20167;-48;;
2021/10/24 15:38:00;;;;;;;3.28;1.35;;;23.90;40.60;;;;;;5051780;28;20060;-42;;
2021/10/24 15:40:00;;;;;;;4.90;1.23;;;23.90;40.70;;;;;;5035335;28;20032;-41;;
2021/10/24 15:43:00;;;;;;;4.68;1.30;;;23.90;40.70;;;;;;5051816;28;20465;-42;;
2021/10/24 15:45:00;;;;;;;4.25;1.20;;;23.90;40.70;;;;;;5035298;28;20051;-44;;
2021/10/24 15:47:00;;;;;;;3.22;1.30;;;23.90;40.80;;;;;;5051959;28;20052;-45;;
2021/10/24 15:50:00;;;;;;;3.38;1.20;;;24.00;40.80;;;;;;5052771;28;20025;-42;;
2021/10/24 15:52:00;;;;;;;20.25;5.45;;;24.00;41.20;;;;;;5053820;28;20021;-45;;
2021/10/24 15:55:00;;;;;;;15.15;6.18;;;24.00;42.00;;;;;;5035075;28;20025;-45;;
2021/10/24 15:57:00;;;;;;;18.92;5.03;;;24.00;42.70;;;;;;5051804;28;20032;-45;;
2021/10/24 16:00:00;;;;;;;15.93;4.55;;;24.10;42.90;;;;;;5051811;28;20036;-45;;
2021/10/24 16:02:00;;;;;;;15.50;5.30;;;24.10;43.30;;;;;;5051678;28;20035;-42;;
2021/10/24 16:04:00;;;;;;;13.20;4.20;;;24.10;43.30;;;;;;5052454;28;20078;-43;;
2021/10/24 16:07:00;;;;;;;9.02;3.78;;;24.10;43.40;;;;;;5053050;28;20017;-44;;
2021/10/24 16:09:00;;;;;;;14.52;4.78;;;24.20;43.40;;;;;;5034719;28;20025;-45;;
2021/10/24 16:12:00;;;;;;;14.50;4.68;;;24.10;43.40;;;;;;5034694;28;20032;-43;;
2021/10/24 16:14:00;;;;;;;19.35;6.85;;;24.10;44.00;;;;;;5051861;28;20392;-42;;
2021/10/24 16:17:00;;;;;;;14.15;6.22;;;24.20;44.70;;;;;;5051049;28;20020;-42;;
2021/10/24 16:19:00;;;;;;;19.50;7.38;;;24.20;45.10;;;;;;5051159;28;20357;-42;;
2021/10/24 16:21:00;;;;;;;17.88;7.30;;;24.20;45.80;;;;;;5052983;28;21549;-42;;
2021/10/24 16:24:00;;;;;;;20.42;7.93;;;24.20;47.00;;;;;;5052455;28;21731;-43;;
2021/10/24 16:26:00;;;;;;;25.17;10.43;;;24.30;47.60;;;;;;5050578;28;20041;-44;;
2021/10/24 16:29:00;;;;;;;29.67;11.00;;;24.30;48.00;;;;;;5066282;28;20052;-43;;
2021/10/24 16:31:00;;;;;;;30.38;11.20;;;24.40;47.80;;;;;;5070364;28;20031;-43;;
2021/10/24 16:34:00;;;;;;;29.40;12.48;;;24.50;47.50;;;;;;5056857;28;20447;-42;;
2021/10/24 16:36:00;;;;;;;33.45;12.68;;;24.60;47.90;;;;;;5051005;28;20052;-43;;
2021/10/24 16:38:00;;;;;;;32.80;13.70;;;24.70;48.20;;;;;;5052242;28;20044;-42;;
